"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114596289",6.21998109628469,0.813857669658212,0.498977969186706,1.63104930461105,0.10287991639232,1
"CWF19L1",0.0735708125224597,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"TUBGCP2",14.7809063245942,0.268844218716272,0.458757524474836,0.586026831982826,0.557857483754889,1
"LOC114607113",0.994123686467359,0.45694358172681,0.52892521255863,0.863909624418139,0.387637539332616,1
"PRPF39",67.8373128223277,-0.109099908141076,0.387184806431869,-0.281777348513477,0.778114240707522,1
"MDGA2",0.68876712361399,-0.00508794837353887,0.524591126125151,-0.00969888379759793,0.992261531685219,1
"LOC114592341",789.76843907878,-0.489883545493576,0.463305207525542,-1.05736680170289,0.29034421664136,1
"RPS29",22.282021145527,0.0978305929531888,0.484488121567832,0.201925679078784,0.839974826561718,1
"MGAT2",2.91549283259731,-0.329562031316266,0.563595404723189,-0.584749322926313,0.558716284053183,1
"DNAAF2",0.0813118494959576,0,0.310564520147233,0,1,1
"KLHDC1",7.47906815273024,-0.0256662270005395,0.541538762123412,-0.0473949951429153,0.962198417837049,1
"KLHDC2",0.746657250392081,-0.817090311368397,0.537702843996831,-1.51959455020702,0.128612908443559,1
"NEMF",3.65386847613793,1.21913884449096,0.562195671071324,2.16853118446779,0.0301182946000851,1
"ARF6",49.9556637659993,0.520129991342749,0.421511231566222,1.23396472594594,0.217216048699307,1
"SOS2",7.29634639568258,-0.00180470035272184,0.555353132625576,-0.00324964467957469,0.997407163245548,1
"LOC114592565",0.215270886937521,-0.030812003432163,0.310564520147233,-0.099212889539203,0.92096924098009,1
"MAP4K5",0.918389938673656,-0.621081137612886,0.556069012960024,-1.1169137699416,0.264031196401774,1
"ATL1",0.980581556516872,-0.918331002463093,0.533672173024017,-1.72077737772879,0.0852912289982209,1
"SAV1",1.32816086045969,-0.541888423029988,0.542404878252674,-0.999047841855054,0.31777151602716,1
"PYGL",7.82672960048825,0.326308091744329,0.553389208371898,0.589653876164926,0.555422723754134,1
"DDHD1",2.30345970930547,-0.408989224675375,0.530475820324269,-0.770985611418383,0.440715460222656,1
"FERMT2",69.8662509587974,-0.775562427941195,0.430153274416283,-1.80299087341281,0.0713896480126392,1
"GNPNAT1",0.0834388922725665,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"STYX",39.3700915452226,0.463713060760361,0.412298665308542,1.1247018236485,0.260715408677016,1
"PSMC6",19.5797162246362,-0.0613341727615649,0.399916066347595,-0.153367613663851,0.878108383254769,1
"PTGER2",0.0813118494959576,0,0.310564520147233,0,1,1
"LOC114585452",0.320455485088851,0.162069345244625,0.311739623413168,0.519886896218592,0.603142409053981,1
"NID2",0.166877784545133,-0.126088848924608,0.310564520147233,-0.405998885078151,0.68474341961524,1
"RTRAF",1.97803371357541,-0.729870885770666,0.545575239338281,-1.33780060593643,0.180961444320378,1
"BMP4",0.908432565545539,-0.227158003936156,0.550005995336343,-0.413010050549073,0.679599250134697,1
"CNIH1",63.7282526653172,0.00906298309837363,0.366574286338718,0.0247234556163041,0.980275545920843,1
"GMFB",2.21832005764607,-0.0600225046150683,0.564228315552854,-0.106379816398005,0.915281006380153,1
"CGRRF1",0.0424171634651372,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"SAMD4A",4.07182909559999,-0.322962647093886,0.558546829751379,-0.578219461450785,0.563115961152812,1
"GCH1",0.28033851598011,-0.0487995737404301,0.386070288086029,-0.126400749413682,0.899414708964987,1
"FBXO34",0.558134135410177,-0.209228261598411,0.486690090932083,-0.429900393487995,0.667268099228706,1
"ATG14",0.578261045166541,0.148065572598491,0.53352238529692,0.277524573811628,0.78137733940166,1
"TBPL2",0.194686712365279,0.11238973982139,0.31058518451822,0.361864459168357,0.717453320078844,1
"ACTR10",1.0374892881545,0.314219640936689,0.537813515010403,0.584253895015284,0.559049506218632,1
"NAA30",56.6491005432735,-0.0368198233555402,0.424852281788018,-0.0866650008341291,0.930937796996532,1
"EXOC5",90.7009948317883,0.336268345746858,0.331603829173301,1.01406653410845,0.310551005502819,1
"TMEM260",0.927605556251958,-0.113390248318726,0.560093523766353,-0.202448775976255,0.839565900026978,1
"PELI2",1.11969734731843,1.15637593863755,0.540886600753721,2.13792676140645,0.0325226878596164,1
"KTN1",158.112241075675,-0.226888455229215,0.535329731738094,-0.423829355587182,0.671690267610712,1
"PSMA3",100.12276315333,-0.00463117579968021,0.391971405410303,-0.0118150858347242,0.990573144754035,1
"ARID4A",47.8010160386252,-0.198086984921986,0.25435269934951,-0.778788609000732,0.436104248900267,1
"TIMM9",0.149683486659548,0,0.310564520147233,0,1,1
"DAAM1",4.52891468821468,0.174750331828175,0.5610768833192,0.311455233718404,0.755454569899035,1
"L3HYPDH",1.53874290049338,0.546045547918602,0.563523157245875,0.968985108947978,0.332552618955004,1
"JKAMP",0.50459633458051,0.12501302791602,0.392502037319533,0.318502876493984,0.750103513049382,1
"RTN1",0.91267645705856,-0.0034581825313162,0.501425992144202,-0.00689669579458433,0.994497276527284,1
"LRRC9",0.0834388922725665,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"DHRS7",0.622984330074864,-0.0164607023954533,0.401138271898058,-0.0410349835670542,0.967268006486382,1
"PPM1A",178.373512562591,-0.243837391175757,0.452784377074088,-0.538528720340232,0.590212082659692,1
"SIX6",0.100828315541874,-0.030812003432163,0.310564520147233,-0.0992128895392029,0.92096924098009,1
"SIX1",14.9650253064579,-0.134302520758254,0.326467176943867,-0.411381389135318,0.680792898367012,1
"SIX4",1.11083166521095,-0.216848306515978,0.398502065718877,-0.54415855065844,0.586332372108161,1
"MNAT1",18.1774076343777,-0.583945110845267,0.460633282859452,-1.26770064729222,0.204904873562145,1
"SLC38A6",1.19224428276358,0.543183435064193,0.509723485863907,1.06564333433367,0.286584902164406,1
"HIF1A",12.3637102193711,0.0189366014473829,0.551741385756618,0.0343215171749616,0.972620766751716,1
"KCNH5",0.0834388922725665,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"PPP2R5E",410.824435406847,0.0666990758423779,0.362301441432629,0.184098290027866,0.853936347913502,1
"SYNE2",0.348347105228427,0.228010005248534,0.443762295852131,0.51381112676709,0.607384047877997,1
"MTHFD1",4.75373925060855,0.256423037583457,0.412121204298411,0.622202970652743,0.533808412933947,1
"ZBTB1",4.09719839030087,-0.563962570395128,0.548033711320837,-1.02906547306351,0.30344890938461,1
"HSPA2",36.3460020053786,-0.0150069946813808,0.515657095544551,-0.029102663012002,0.976782711922439,1
"BRF1",7.21108603045321,0.518952442292219,0.557882104666182,0.930218836473958,0.352257791008392,1
"BTBD6",52.9509268896853,-0.217545189832883,0.561699706595482,-0.387298030030043,0.698535583771197,1
"JAG2",5.17133708876437,-0.120522551373495,0.56345998373027,-0.213897268401565,0.830627170440189,1
"CDCA4",11.307529901571,0.114060527155856,0.481811189435271,0.236732831567373,0.812864062910094,1
"LOC114605788",0.321169851602403,-0.0503692084808419,0.391023372192302,-0.128813805165771,0.897504981599398,1
"ADSSL1",13.8311794300221,-0.494911073073072,0.519774407977741,-0.952165142178885,0.34101323618062,1
