"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114596289",6.21998109628469,0.409131871539091,0.496361919487803,0.824261200297709,0.40979115955948,1
"CWF19L1",0.0735708125224597,-0.00142472478910006,0.310564520147233,-0.00458753236984259,0.996339691588732,1
"TUBGCP2",14.7809063245942,-0.115145231581663,0.457437237836251,-0.251718098260468,0.801258966956745,1
"LOC114607113",0.994123686467359,-0.418195824329029,0.536921707138148,-0.77887673150348,0.436052331894208,1
"PRPF39",67.8373128223277,-0.0808159661093084,0.388039599746804,-0.208267316433789,0.835020249796387,1
"MDGA2",0.68876712361399,0.068179539070523,0.520723246178608,0.130932389845982,0.895828791844057,1
"LOC114592341",789.76843907878,-0.563113634662786,0.463328495503551,-1.21536585840849,0.224226583615753,1
"RPS29",22.282021145527,0.168196289452512,0.485847515166127,0.346191519359733,0.729198787711484,1
"MGAT2",2.91549283259731,-0.398634974973898,0.56342118480471,-0.70752571206933,0.47923983997939,1
"DNAAF2",0.0813118494959576,-0.0967015702815447,0.310564520147233,-0.311373527908791,0.755516676004281,1
"KLHDC1",7.47906815273024,0.262515277338731,0.543848218932085,0.48269952571365,0.629309100061519,1
"KLHDC2",0.746657250392081,-0.518158252568097,0.530986802293512,-0.975840172166231,0.329143673801689,1
"NEMF",3.65386847613793,1.21218249127555,0.561607588217637,2.15841544292987,0.0308955461229712,1
"ARF6",49.9556637659993,0.3616385489058,0.421817709879512,0.857333726004768,0.391260474640226,1
"SOS2",7.29634639568258,0.0868360873404775,0.55495759962706,0.156473372738445,0.875659906179222,1
"LOC114592565",0.215270886937521,-0.0490631475353224,0.310564520147233,-0.157980530139317,0.874472140741316,1
"MAP4K5",0.918389938673656,-0.307076349834552,0.551196003922332,-0.557109172870241,0.577452840690866,1
"ATL1",0.980581556516872,-0.345355802498481,0.524749229162308,-0.658134940092805,0.510451426014086,1
"SAV1",1.32816086045969,-0.165414937385004,0.537519666169807,-0.307737461149464,0.758282112214658,1
"PYGL",7.82672960048825,0.206605874057471,0.553239618784354,0.373447358147363,0.70881551798057,1
"DDHD1",2.30345970930547,-0.038711485395914,0.539959461119445,-0.0716933180792077,0.942845973880458,1
"FERMT2",69.8662509587974,-0.373682351381277,0.431513064860336,-0.865981546821122,0.38650028140005,1
"GNPNAT1",0.0834388922725665,0,0.310564520147233,0,1,1
"STYX",39.3700915452226,0.178334156801518,0.412042728423526,0.432805009043174,0.665156434035522,1
"PSMC6",19.5797162246362,0.12915091947805,0.404288087569701,0.319452695859567,0.749383256818751,1
"PTGER2",0.0813118494959576,-0.0967015702815447,0.310564520147233,-0.311373527908791,0.755516676004281,1
"LOC114585452",0.320455485088851,0.191456623887688,0.311739623413168,0.614155562874784,0.539112534655561,1
"NID2",0.166877784545133,0,0.310564520147233,0,1,1
"RTRAF",1.97803371357541,0.138347752720684,0.556892242600171,0.248428227469516,0.803803095626506,1
"BMP4",0.908432565545539,-0.304609468312369,0.548518239911531,-0.555331520719345,0.57866792260871,1
"CNIH1",63.7282526653172,-0.307755019534914,0.366259297736278,-0.840265411518674,0.400759590156844,1
"GMFB",2.21832005764607,0.247620310043193,0.563763347242312,0.439227401452126,0.660496772155871,1
"CGRRF1",0.0424171634651372,-0.0014247247891001,0.310564520147233,-0.00458753236984272,0.996339691588732,1
"SAMD4A",4.07182909559999,0.202918926316624,0.557027871805815,0.364288640815739,0.715642481309102,1
"GCH1",0.28033851598011,-0.156740899549316,0.386070288086029,-0.405990578364293,0.684749523081644,1
"FBXO34",0.558134135410177,-0.382744052651211,0.486739161648518,-0.786343246668112,0.431666422774589,1
"ATG14",0.578261045166541,-0.0891572401924419,0.534366812110129,-0.166846514738395,0.867490818151359,1
"TBPL2",0.194686712365279,0.0941385957182307,0.31058518451822,0.303100728594825,0.761813098916158,1
"ACTR10",1.0374892881545,0.263248229689791,0.535848298747629,0.491273799515736,0.623232808268488,1
"NAA30",56.6491005432735,0.116446961712727,0.426035347580869,0.273326995926373,0.784601865368314,1
"EXOC5",90.7009948317883,0.495763845334954,0.333150430642534,1.48810807291707,0.136722394820454,1
"TMEM260",0.927605556251958,-0.177297209892011,0.558976815414568,-0.31718168804643,0.751105743928462,1
"PELI2",1.11969734731843,0.826104434029214,0.542360301900975,1.52316537757966,0.127717335697372,1
"KTN1",158.112241075675,-0.110206777045532,0.53541910473544,-0.205832731911924,0.836921572244015,1
"PSMA3",100.12276315333,0.326136397269489,0.393262174710541,0.829310364032698,0.406928807804234,1
