"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114596289",6.21998109628469,-0.404725798119121,0.508803399077087,-0.795446333206989,0.426353917080485,1
"CWF19L1",0.0735708125224597,0,0.310564520147233,0,1,1
"TUBGCP2",14.7809063245942,-0.383989450297934,0.462055752446354,-0.831045708802243,0.405947808049689,1
"LOC114607113",0.994123686467359,-0.87513940605584,0.527344765817181,-1.65952041772845,0.097010969821788,1
"PRPF39",67.8373128223277,0.0282839420317675,0.38867363256999,0.0727704162609341,0.941988812925383,1
"MDGA2",0.68876712361399,0.0732674874440618,0.516386112382281,0.141885084992026,0.8871707755742,1
"LOC114592341",789.76843907878,-0.0732300891692104,0.46330769711317,-0.158059297580206,0.874410073196453,1
"RPS29",22.282021145527,0.0703656964993236,0.487364686000523,0.144379965394637,0.885200436342688,1
"MGAT2",2.91549283259731,-0.0690729436576321,0.56339757403773,-0.122600711896225,0.902423290686152,1
"DNAAF2",0.0813118494959576,-0.0658895668493817,0.310564520147233,-0.212160638369588,0.831981713716352,1
"KLHDC1",7.47906815273024,0.288181504339271,0.54491070875469,0.528860049379219,0.596902537594752,1
"KLHDC2",0.746657250392081,0.298932058800299,0.536424278356964,0.557267951622009,0.577344368825437,1
"NEMF",3.65386847613793,-0.00695635321541499,0.55926535505506,-0.0124383767965211,0.990075867092356,1
"ARF6",49.9556637659993,-0.158491442436949,0.42428951144415,-0.373545511171119,0.708742479489187,1
"SOS2",7.29634639568258,0.0886407876931994,0.55462766504681,0.159820350262763,0.873022592945591,1
"LOC114592565",0.215270886937521,-0.0182511441031594,0.310564520147233,-0.0587676406001136,0.953137182957022,1
"MAP4K5",0.918389938673656,0.314004787778334,0.553248801166056,0.567565238490388,0.57033021653897,1
"ATL1",0.980581556516872,0.572975199964612,0.530421816836264,1.08022555215048,0.280041752459889,1
"SAV1",1.32816086045969,0.376473485644984,0.538801029888154,0.698724510090735,0.484724213416725,1
"PYGL",7.82672960048825,-0.119702217686858,0.552584078499843,-0.216622632363614,0.828502446438583,1
"DDHD1",2.30345970930547,0.370277739279461,0.539492013416118,0.686345172998622,0.492495469351019,1
"FERMT2",69.8662509587974,0.401880076559919,0.430661865462538,0.933168475756015,0.350732988421127,1
"GNPNAT1",0.0834388922725665,0.029387278643063,0.310564520147233,0.0946253571693604,0.924612408095213,1
"STYX",39.3700915452226,-0.285378903958842,0.415288119617654,-0.687182923079004,0.491967464207256,1
"PSMC6",19.5797162246362,0.190485092239615,0.406609774331629,0.468471503304925,0.639447444947177,1
"PTGER2",0.0813118494959576,-0.0658895668493817,0.310564520147233,-0.212160638369588,0.831981713716352,1
"LOC114585452",0.320455485088851,0.0293872786430628,0.310564520147233,0.0946253571693599,0.924612408095213,1
"NID2",0.166877784545133,0.0770257013892853,0.310564520147233,0.248018354938834,0.804120205224849,1
"RTRAF",1.97803371357541,0.868218638491351,0.554082926482835,1.56694710664081,0.117127055545003,1
"BMP4",0.908432565545539,-0.0774514643762127,0.547207163113768,-0.141539565994515,0.887443705499442,1
"CNIH1",63.7282526653172,-0.316818002633288,0.367526364692848,-0.862027960628244,0.388672131617386,1
"GMFB",2.21832005764607,0.307642814658261,0.56357097926857,0.545881221665345,0.585147587231319,1
"CGRRF1",0.0424171634651372,0,0.310564520147233,0,1,1
"SAMD4A",4.07182909559999,0.52588157341051,0.556991682715603,0.944146186971022,0.345094949921125,1
"GCH1",0.28033851598011,-0.107941325808886,0.385918073140156,-0.279700105596465,0.779707597305657,1
"FBXO34",0.558134135410177,-0.1735157910528,0.484299988499369,-0.358281633642917,0.720132561290621,1
"ATG14",0.578261045166541,-0.237222812790933,0.527300673942182,-0.449881489847942,0.65279589506453,1
"TBPL2",0.194686712365279,0,0.310564520147233,0,1,1
"ACTR10",1.0374892881545,-0.0509714112468976,0.530121395664748,-0.09615045094149,0.923401082826924,1
"NAA30",56.6491005432735,0.153266785068267,0.426762388384754,0.359138455589689,0.71949151459249,1
"EXOC5",90.7009948317883,0.159495499588096,0.334983326569985,0.476129666575433,0.633982002925585,1
"TMEM260",0.927605556251958,-0.0639069615732851,0.557371904531967,-0.114657665830768,0.908716470327993,1
"PELI2",1.11969734731843,-0.330271504608336,0.528780580574466,-0.624590835483272,0.532239636078087,1
"KTN1",158.112241075675,0.116681678183683,0.535443329271287,0.217916018007884,0.827494546485469,1
"PSMA3",100.12276315333,0.330767573069169,0.393818791133569,0.839897893437453,0.40096563886173,1
"ARID4A",47.8010160386252,-0.354990304671782,0.254657353684409,-1.39399196424429,0.163320031259994,1
"TIMM9",0.149683486659548,-0.113527989595604,0.310564520147233,-0.365553636139062,0.714698176905998,1
"DAAM1",4.52891468821468,-0.0436596496045525,0.562217933154783,-0.0776560956701689,0.938101619168666,1
"L3HYPDH",1.53874290049338,0.17483155934435,0.559932489219014,0.312236854818341,0.754860525095763,1
"JKAMP",0.50459633458051,0.0519853144382794,0.389038196868407,0.13362521946878,0.893698940779447,1
"RTN1",0.91267645705856,0.477155185931053,0.490318203994134,0.973154131427601,0.330476703803328,1
"LRRC9",0.0834388922725665,0.029387278643063,0.310564520147233,0.0946253571693604,0.924612408095213,1
"DHRS7",0.622984330074864,-0.165110491078509,0.398436212990716,-0.41439629655941,0.67858390071944,1
"PPM1A",178.373512562591,-0.0103925874229148,0.45301079328821,-0.0229411474889581,0.981697218073116,1
"SIX6",0.100828315541874,0.029387278643063,0.310564520147233,0.0946253571693604,0.924612408095213,1
"SIX1",14.9650253064579,0.0304030255914802,0.326366823358557,0.0931559932428501,0.925779634608007,1
"SIX4",1.11083166521095,0.36736471441182,0.394515115709236,0.931180326896711,0.351760292583389,1
"MNAT1",18.1774076343777,0.0339851260570972,0.460860048874843,0.0737428339472459,0.941215014991484,1
"SLC38A6",1.19224428276358,0.0850472431353996,0.49948456666531,0.170270011950914,0.864797793859469,1
"HIF1A",12.3637102193711,-0.396422722869269,0.552055939006489,-0.718084336856686,0.472705287251212,1
"KCNH5",0.0834388922725665,0.029387278643063,0.310564520147233,0.0946253571693604,0.924612408095213,1
"PPP2R5E",410.824435406847,-0.0457323217794198,0.362643836046661,-0.126108090731578,0.899646363126658,1
"SYNE2",0.348347105228427,-0.041513832029553,0.440708926431755,-0.0941978470136151,0.924951995005342,1
"MTHFD1",4.75373925060855,-0.212527854203758,0.411353751218455,-0.516654712821356,0.605397214965159,1
"ZBTB1",4.09719839030087,0.567305680093155,0.55156189613148,1.02854400217292,0.303694003555632,1
