V2	V3	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1CF	mRNA	65.8325130880216	-1.14671145400595e-07	0.00144269494915256	0.658837138379229	0.999975591221172
AAK1	mRNA	1.10743817637913	7.12424232176397e-07	0.00144269463797632	0.273896722131285	0.999975591221172
AASS	mRNA	5.86577173251881	-1.05343137214017e-06	0.00144269407492925	0.257145583250718	0.999975591221172
ABAT	mRNA	0.653633190400733	-1.67292926216861e-07	0.00144269479426807	0.697050683868714	0.999975591221172
ABCA1	mRNA	1.9068067410865	-4.07370185708952e-07	0.00144269406568122	0.565384302824809	0.999975591221172
ABCA2	mRNA	2.94636763286946	9.54230230815204e-07	0.00144269360584027	0.378761978249186	0.999975591221172
ABCA3	mRNA	1.23769877323662	-6.86418667804734e-07	0.00144269445107681	0.325607520214959	0.999975591221172
ABCB10	mRNA	5.9187654359541	-2.15690406422869e-06	0.0014426918424294	0.283922043921205	0.999975591221172
ABCB11	mRNA	3.71440006244068	-9.06655778931584e-08	0.00144269482485529	0.814477983723066	0.999975591221172
ABCB7	mRNA	14.0769405232285	-1.83165355388263e-06	0.00144269100175397	0.358476360207908	0.999975591221172
ABCC10	mRNA	1.48256627001655	6.21503558911161e-07	0.00144269440801527	0.368319876269772	0.999975591221172
ABCC3	mRNA	0.714569221847769	-2.58165068107391e-07	0.00144269441675903	0.704990715185786	0.999975591221172
ABCC4	mRNA	11.5360531953004	-4.01225494636617e-07	0.0014426935648938	0.69844200205599	0.999975591221172
ABCC5	misc_RNA	76.9016326245476	8.53649360441873e-07	0.00144269215875878	0.561507369247329	0.999975591221172
ABCC5	mRNA	76.9016326245476	8.53649360441873e-07	0.00144269215875878	0.561507369247329	0.999975591221172
ABCC8	mRNA	26.1794603460572	2.8739508238651e-07	0.00144269467648023	0.599441826778005	0.999975591221172
ABCC9	unclassified transcription discrepancy	18.349074096637	-3.38673662407495e-08	0.00144269428938292	0.959712019870312	0.999975591221172
ABCD2	mRNA	2.10060786294628	3.07198301000948e-07	0.00144269486905884	0.463011230461265	0.999975591221172
ABCD3	mRNA	4.44840460592755	-1.88328848651496e-06	0.00144269281990241	0.187583063102561	0.999975591221172
ABCE1	mRNA	255.274373343822	-1.4665922019339e-06	0.00144268022404484	0.65574591179513	0.999975591221172
ABCF1	mRNA	1.63358433746454	-4.03204775160544e-07	0.00144269393435985	0.655991843894805	0.999975591221172
ABCF2	mRNA	54.9546958490889	6.89682153390957e-07	0.00144269292679923	0.588586052449785	0.999975591221172
ABCF3	mRNA	1.14942563332246	-5.15472803395686e-08	0.00144269387822662	0.95426093433176	0.999975591221172
ABHD12	mRNA	1.28220047252753	-7.17295500758935e-07	0.00144269401124091	0.426470007805948	0.999975591221172
ABHD13	mRNA	13.2503975215265	-4.3636305063063e-07	0.00144269133377527	0.789291954844401	0.999975591221172
ABHD17B	mRNA	46.7653249522567	-2.30016504652895e-06	0.00144268960672306	0.283249753729848	0.999975591221172
ABHD17C	mRNA	76.6228942433821	-6.79526989854398e-07	0.00144269230423778	0.63093086158013	0.999975591221172
ABHD18	mRNA	6.09367680593258	-7.26251370170389e-07	0.00144269338552036	0.518504015979011	0.999975591221172
ABHD3	mRNA	1.19561165329284	-5.69145629701547e-09	0.0014426946418735	0.987175106916866	0.999975591221172
ABHD4	mRNA	2.98671813526436	1.58904849158542e-06	0.00144269362793753	0.170004345557283	0.999975591221172
ABI1	mRNA	65.640542558416	-1.80400749782724e-06	0.00144267890273187	0.968428203266124	0.999975591221172
ABI2	mRNA	19.0228193703205	-1.22510869173127e-06	0.00144269242203617	0.397121879011233	0.999975591221172
ABI3BP	mRNA	1.22808749283892	4.786295043125e-07	0.00144269482053853	0.309441872888154	0.999975591221172
