,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LOC114595581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114595943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596289,17,21,6,7,5,2,6,5,2,5,8,0,12,5,3
LOC114585404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114600179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWF19L1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC114604713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBGCP2,28,5,11,28,21,12,25,7,5,13,26,6,24,13,8
ZNF511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114601100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114607113,0,5,0,2,0,1,0,0,0,0,3,1,0,2,2
POLE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1H9orf43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRPF39,82,136,69,80,53,50,133,56,31,89,122,27,114,30,30
LOC114585646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDGA2,0,2,0,4,0,0,1,0,1,2,0,0,2,0,1
LOC114590935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114592106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114592341,908,270,139,856,1076,526,1467,875,462,1037,1061,379,1093,1081,467
LOC114591300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS29,67,8,9,18,31,14,38,17,18,23,28,11,14,21,14
LRR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGAT2,0,5,0,4,4,0,3,7,2,3,6,0,4,6,0
